,KKTOWN 用戶,重覆檢查,誰做的,回覆(Y/N),備註,,,
,,"1 表示沒問題
2 表示重覆",name簡寫,,,,PM紀錄,
10/25,C351604,1,-,,,,YS,29
,B413338,1,-,,,,JK,29
,h418638,1,-,,,,AN,4361
,c221507,1,-,,,,Yufi,1379
,h436381,1,-,,,,Don,157
,f377626,1,-,,,,-,428
,g159132,1,-,,,,H,1596
,g374281,1,-,,,,S,62
,k441802,1,-,,,,Annie,263
,a160164,1,-,,,,Norah,94
,k445685,1,-,,,,,
,k287252,1,-,,,,SUM,8398
,f453911,1,-,,,,,
,k345035,1,-,,,,,
,f407084,1,-,,,,,
,e585595,1,-,,,,,
,d404600,1,-,,,,,
,d535115,1,-,,,,,
,f304366,1,-,,,,,
,j253418,1,-,,,,,
,e323553,1,-,,,,,
,c349118,1,-,,,,,
,e365639,1,-,,,,,
,f524179,1,-,,,,,
,c357863,1,-,,,,,
,a220895,1,-,,,,,
,c216447,1,-,,,,,
,j494230,1,-,,,,,
,j434071,1,-,,,,,
,b454544,1,-,,,,,
,c320122,1,-,,,,,
,d433365,1,-,,,,,
,c81522,1,-,,,,,
,f501343,1,-,,,,,
,f474745,1,-,,,,,
,e312564,1,-,,,,,
,m309790,1,-,,,,,
,e417812,1,-,,,,,
,e576157,1,-,,,,,
,c382756,1,-,,,,,
,g366911,1,-,,,,,
,m411595,1,-,,,,,
,h552992,1,-,,,,,
,m306116,1,-,,,,,
,b344775,1,-,,,,,
,k387187,1,-,,,,,
,j482845,1,-,,,,,
,b305318,1,-,,,,,
,f560435,1,-,,,,,
,k444838,1,-,,,,,
,m516612,1,-,,,,,
,m362381,1,-,,,,,
,d534224,1,-,,,,,
,b486202,1,-,,,,,
,m472887,1,-,,,,,
,c385154,1,-,,,,,
,d341207,1,-,,,,,
,j338789,1,-,,,,,
,b272879,1,-,,,,,
,a312426,1,-,,,,,
,a381792,1,-,,,,,
,e584143,1,-,,,,,
,a405145,1,-,,,,,
,m518592,1,-,,,,,
,c199518,1,-,,,,,
,e369093,1,-,,,,,
,k236311,1,-,,,,,
,h577720,1,-,,,,,
,e545071,1,-,,,,,
,g252665,1,-,,,,,
,a258735,1,-,,,,,
,h579007,1,-,,,,,
,h500390,1,-,,,,,
,d443144,1,-,,,,,
,c191675,1,-,,,,,
,h375672,1,-,,,,,
,d539493,1,-,,,,,
,g224604,1,-,,,,,
,d446609,1,-,,,,,
,k375571,1,-,,,,,
,g202747,1,-,,,,,
,k422244,1,-,,,,,
,e543025,1,-,,,,,
,d341163,1,-,,,,,
,f552647,1,-,,,,,
,j377806,1,-,,,,,
,f517018,1,-,,,,,
,k349556,1,-,,,,,
,g216486,1,-,,,,,
,k284359,1,-,,,,,
,a343864,1,-,,,,,
,k275702,1,-,,,,,
,f377571,1,-,,,,,
,f391431,1,-,,,,,
,h561000,1,-,,,,,
,j426481,1,-,,,,,
,g224043,1,-,,,,,
,g158175,1,-,,,,,
,d451878,1,-,,,,,
,d526579,1,-,,,,,
,j447480,1,-,,,,,
,f546850,1,-,,,,,
,j489863,1,-,,,,,
,m465759,1,-,,,,,
,h399135,1,-,,,,,
,e380060,1,-,,,,,
,d524764,1,-,,,,,
,j422785,1,-,,,,,
,h373923,1,-,,,,,
,g267328,1,-,,,,,
,m397438,1,-,,,,,
,d344903,1,-,,,,,
,h390060,1,-,,,,,
,c288959,1,-,,,,,
,c197703,1,-,,,,,
,e394745,1,-,,,,,
,c329406,1,-,,,,,
,k301948,1,-,,,,,
,m352657,1,-,,,,,
,c369644,1,-,,,,,
,h394625,1,-,,,,,
,c341935,1,-,,,,,
,j297000,1,-,,,,,
,g374468,1,-,,,,,
,a366766,1,-,,,,,
,g171859,1,-,,,,,
,a187169,1,-,,,,,
,g294454,1,-,,,,,
,j496386,1,-,,,,,
,j467907,1,-,,,,,
,b237085,1,-,,,,,
,g361587,1,-,,,,,
,d419098,1,-,,,,,
,m329227,1,-,,,,,
,a307850,1,-,,,,,
,j492822,1,-,,,,,
,e553893,1,-,,,,,
,f423320,1,-,,,,,
,g371729,1,-,,,,,
,g168801,1,-,,,,,
10/26,m262908,1,-,,,,,
,f353041,1,-,,,,,
,d539537,1,-,,,,,
,c249645,1,-,,,,,
,a389239,1,-,,,,,
,b404780,1,-,,,,,
,e466267,1,-,,,,,
,g271585,1,-,,,,,
,k277176,1,-,,,,,
,h481921,1,-,,,,,
,e434719,1,-,,,,,
,k450943,1,-,,,,,
,h512149,1,-,,,,,
,f501673,1,-,,,,,
,d444101,1,-,,,,,
,a324625,1,-,,,,,
,m286492,1,-,,,,,
,c372955,1,-,,,,,
,h476025,1,-,,,,,
,c162800,1,-,,,,,
,c383933,1,-,,,,,
,h550418,1,-,,,,,
,h404228,1,-,,,,,
,c370678,1,-,,,,,
,k352966,1,-,,,,,
,f332834,1,-,,,,,
,a399634,1,-,,,,,
,b487049,1,-,,,,,
,d533608,1,-,,,,,
,k410430,1,-,,,,,
